hot_streak,wr,rank,freshBlood,inactive,veteran,championPoints,lastPlayTime,outcome
0.2,-0.024952559526573936,2.8000000000000007,0.0,0.0,0.2,32378.400000000023,-1603.0811063237488,1
-0.2,0.024952559526573936,-2.8000000000000007,-0.0,-0.0,-0.2,-32378.400000000023,1603.0811063237488,0
0.0,0.05016340782981421,-0.1999999999999993,0.2,0.0,0.0,94899.40000000001,-3953.5209211297333,1
-0.0,-0.05016340782981421,0.1999999999999993,-0.2,-0.0,-0.0,-94899.40000000001,3953.5209211297333,0
-0.2,0.029512955840022337,-2.8000000000000007,0.4,0.0,0.0,151512.40000000002,-2596.56301523,1
0.2,-0.029512955840022337,2.8000000000000007,-0.4,-0.0,-0.0,-151512.40000000002,2596.56301523,0
0.2,-0.008116199043248007,2.799999999999997,0.2,0.0,0.0,-322971.0,3857.8054693304002,1
-0.2,0.008116199043248007,-2.799999999999997,-0.2,-0.0,-0.0,322971.0,-3857.8054693304002,0
0.0,0.06953648790234157,2.599999999999998,0.0,0.0,0.0,120649.80000000002,252.79389077425003,1
-0.0,-0.06953648790234157,-2.599999999999998,-0.0,-0.0,-0.0,-120649.80000000002,-252.79389077425003,0
0.2,0.07743641767481069,5.400000000000002,0.4,0.0,0.0,107132.2,3936.4258336238563,1
-0.2,-0.07743641767481069,-5.400000000000002,-0.4,-0.0,-0.0,-107132.2,-3936.4258336238563,0
-0.4,0.016144645246102596,3.8000000000000007,0.0,0.0,0.0,-259523.0,1890.5594629086554,1
0.4,-0.016144645246102596,-3.8000000000000007,-0.0,-0.0,-0.0,259523.0,-1890.5594629086554,0
0.2,0.07854645800782223,-0.3999999999999986,0.0,0.0,0.0,-625873.6000000001,2662.1688934490085,1
-0.2,-0.07854645800782223,0.3999999999999986,-0.0,-0.0,-0.0,625873.6000000001,-2662.1688934490085,0
0.0,0.025711000670971318,-1.8000000000000007,0.0,0.0,0.0,-647610.2000000001,-18.76165933161974,1
-0.0,-0.025711000670971318,1.8000000000000007,-0.0,-0.0,-0.0,647610.2000000001,18.76165933161974,0
-0.2,0.02352757372685821,-0.20000000000000284,-0.2,0.0,0.0,-6208.0,10.417627103626728,1
0.2,-0.02352757372685821,0.20000000000000284,0.2,-0.0,-0.0,6208.0,-10.417627103626728,0
0.0,-0.024772893277974495,0.8000000000000007,-0.4,0.0,0.0,-20761.79999999999,-18.083423513919115,1
-0.0,0.024772893277974495,-0.8000000000000007,0.4,-0.0,-0.0,20761.79999999999,18.083423513919115,0
-0.2,-0.05963771460396561,-1.7999999999999972,0.0,0.0,0.0,35012.79999999999,7.344818353652954,1
0.2,0.05963771460396561,1.7999999999999972,-0.0,-0.0,-0.0,-35012.79999999999,-7.344818353652954,0
0.0,0.02267477699015108,-1.6000000000000014,0.4,0.0,-0.4,-17582.199999999997,1712.6406940221786,1
-0.0,-0.02267477699015108,1.6000000000000014,-0.4,-0.0,0.4,17582.199999999997,-1712.6406940221786,0
-0.4,-0.027142566160578196,1.1999999999999993,-0.2,0.0,0.0,-94507.8,368.75685316324234,1
0.4,0.027142566160578196,-1.1999999999999993,0.2,-0.0,-0.0,94507.8,-368.75685316324234,0
0.0,-0.024106696048345477,-1.6000000000000014,0.2,0.0,0.0,-104949.40000000001,-1910.3033336251974,1
-0.0,0.024106696048345477,1.6000000000000014,-0.2,-0.0,-0.0,104949.40000000001,1910.3033336251974,0
-0.4,0.03224862242454829,-3.8000000000000007,0.4,0.0,-0.4,50282.8,-106.71074083074927,1
0.4,-0.03224862242454829,3.8000000000000007,-0.4,-0.0,0.4,-50282.8,106.71074083074927,0
0.2,-0.020613849693398745,-2.1999999999999993,-0.2,0.0,0.0,100794.40000000001,818.1543665453792,1
