hot_streak,wr,rank,freshBlood,inactive,veteran,championPoints,lastPlayTime,outcome
0.0,0.022966476987294038,-1.0,0.2,0.0,0.0,196657.60000000003,-29635.31027480215,1
-0.0,-0.022966476987294038,1.0,-0.2,-0.0,-0.0,-196657.60000000003,29635.31027480215,0
0.0,-0.08028443701523447,-5.800000000000001,0.0,0.0,0.2,201943.80000000002,53933.03231853247,1
-0.0,0.08028443701523447,5.800000000000001,-0.0,-0.0,-0.2,-201943.80000000002,-53933.03231853247,0
-0.2,0.02953781228109309,-0.6000000000000014,0.0,0.0,-0.2,-394033.0,128363.02536782622,1
0.2,-0.02953781228109309,0.6000000000000014,-0.0,-0.0,0.2,394033.0,-128363.02536782622,0
0.0,-0.023940807969152544,-0.20000000000000284,0.0,0.0,0.0,479864.79999999993,-34876.704641286284,1
-0.0,0.023940807969152544,0.20000000000000284,-0.0,-0.0,-0.0,-479864.79999999993,34876.704641286284,0
0.0,-0.026224141734794593,2.0,0.4,0.0,0.0,-44279.0,-414.14360800758004,1
-0.0,0.026224141734794593,-2.0,-0.4,-0.0,-0.0,44279.0,414.14360800758004,0
0.2,0.02834636661786938,0.40000000000000213,-0.2,0.0,-0.2,76374.4,-1213.969997767359,1
-0.2,-0.02834636661786938,-0.40000000000000213,0.2,-0.0,0.2,-76374.4,1213.969997767359,0
0.6000000000000001,0.01446377344161709,-0.1999999999999993,-0.39999999999999997,0.0,0.0,-10879.199999999997,1637.3673302009702,1
-0.6000000000000001,-0.01446377344161709,0.1999999999999993,0.39999999999999997,-0.0,-0.0,10879.199999999997,-1637.3673302009702,0
-0.6,-0.00759206916202515,0.8000000000000007,0.0,0.0,-0.4,-264311.8,4658.798521395773,1
0.6,0.00759206916202515,-0.8000000000000007,-0.0,-0.0,0.4,264311.8,-4658.798521395773,0
-0.6000000000000001,-0.002440691342793455,-0.8000000000000007,-0.2,0.0,0.0,-14629.800000000017,1454.1573120169342,1
0.6000000000000001,0.002440691342793455,0.8000000000000007,0.2,-0.0,-0.0,14629.800000000017,-1454.1573120169342,0
0.2,0.057965131931780434,-2.3999999999999986,0.0,0.0,0.0,12611.0,969.3170412406325,1
-0.2,-0.057965131931780434,2.3999999999999986,-0.0,-0.0,-0.0,-12611.0,-969.3170412406325,0
0.6,-0.031067813830818247,1.3999999999999986,0.0,0.0,0.0,-152931.4,7286.7730541191995,1
-0.6,0.031067813830818247,-1.3999999999999986,-0.0,-0.0,-0.0,152931.4,-7286.7730541191995,0
-0.2,-0.0601284191523197,2.1999999999999993,-0.4,0.0,0.0,-7606.5999999999985,-7230.250102542341,1
0.2,0.0601284191523197,-2.1999999999999993,0.4,-0.0,-0.0,7606.5999999999985,7230.250102542341,0
-0.2,0.03062473634604801,-0.20000000000000284,-0.2,0.0,0.0,-234657.40000000002,2845.757905513048,1
0.2,-0.03062473634604801,0.20000000000000284,0.2,-0.0,-0.0,234657.40000000002,-2845.757905513048,0
-0.4,-0.050713560799493296,2.0,-0.2,0.0,0.2,67342.4,-7297.921387363225,1
0.4,0.050713560799493296,-2.0,0.2,-0.0,-0.2,-67342.4,7297.921387363225,0
0.2,0.07100612784318017,-3.1999999999999993,0.0,0.0,0.0,-192691.0,7782.770745914429,1
-0.2,-0.07100612784318017,3.1999999999999993,-0.0,-0.0,-0.0,192691.0,-7782.770745914429,0
-0.2,-0.015025859127269503,1.1999999999999993,-0.4,0.0,0.0,36047.8,-6644.989360976964,1
0.2,0.015025859127269503,-1.1999999999999993,0.4,-0.0,-0.0,-36047.8,6644.989360976964,0
0.2,0.011556089040101192,-2.1999999999999993,0.0,0.0,-0.2,-312510.8,5462.363335214555,1
-0.2,-0.011556089040101192,2.1999999999999993,-0.0,-0.0,0.2,312510.8,-5462.363335214555,0
0.2,0.06478570471114986,-2.3999999999999986,0.0,0.0,0.0,-4380.1999999999825,-656.4167589247227,1
-0.2,-0.06478570471114986,2.3999999999999986,-0.0,-0.0,-0.0,4380.1999999999825,656.4167589247227,0
